Název provozovatele,B/H - IČ provozovatele (u fyzické osoby pokud bylo přiděleno),C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - ulice,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - PSČ,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - obec,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - okres,C/CH - sídlo/adresa; místo trvalého pobytu fyz. osoby - kraj,"C/CH - datová schránka, má-li ji subjekt zřízenou",D - předmět činnosti,E - právní forma,G - datum narození provozovatele - fyzické osoby,I - NÁZEV KNIHOVNY,R - EVIDENČNÍ ČÍSLO KNIHOVNY,J - druh knihovny,Kategorie - pomocný sloupec,K - adresa knihovny: ulice,K - adresa knihovny: PSČ,K - adresa knihovny: město,K - adresa knihovny: okres,K - adresa knihovny: kraj,M - emailový kontakt na autora záznamu,N - e-mailový kontakt na knihovnu,"O - odkaz na webovou stránku knihovny, respektive odkaz na informace o knihovně na webových stránkách provozovatele",P - provozní doba knihovny,Q - další informace,X - sigla,S - datum vytvoření záznamu,T - datum evidence knihovny,XXT - schvalovatel záznamu,U - datum aktualizace záznamu,XXU - schvalovatel aktualizace záznamu,aktivní / zrušená (vyřazená z evidence),V - datum vyřazení,XXV - vyřadil z evidence,W - důvod vyřazení z evidence,Y - číslo jednací,Poznámka
Město Planá,260096,nám. Svobody 1,348 15,Planá,Tachov,Plzeňský,,městský úřad,,,Městská knihovna Planá,1510,základní,public,nám. Svobody 50,348 15,Planá,Tachov,Plzeňský,, ,, ,,TCG502,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14921/2002,
Obec Dolní Slivno,237701,Dolní Slivno 41,294 78,Dolní Slivno,Mladá Boleslav,Středočeský,,obecní úřad,,,Obecní knihovna Dolní Slivno,1511,základní,public,Dolní Slivno 42,294 78,Dolní Slivno,Mladá Boleslav,Středočeský,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,2007-12-19 00:00:00,St. Firstová,A,,,,k 14923/2002,
Obec Drnholec,835927,Kostelní 368,691 83,Drnholec,Břeclav,Jihomoravský,,obecní úřad,,,Obecní knihovna v Drnholci,1512,základní,public,Kostelní 368,691 83,Drnholec,Břeclav,Jihomoravský,, ,http://www.knihovnadrnholec.webk.cz, ,,BVG516,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14932/2002,
Obec Víceměřice,288888,Víceměřice 26,798 26,Nezamyslice,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Víceměřice,1513,základní,public,Víceměřice 26,798 26,Nezamyslice,Prostějov,Olomoucký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14933/2002,
Obec Komárno,287326,Komárno 49,768 71,Rajnochovice,Kroměříž,Zlínský,,obecní úřad,,,Obecní knihovna v Komárně,1514,základní,public,Komárno 49,768 71,Rajnochovice,Kroměříž,Zlínský,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14936/2002,
Obec Sobíšky,636576,Sobíšky,751 21,Prosenice,Přerov,Olomoucký,,obecní úřad,,,Obecní knihovna v Sobíškách,1515,základní,public,Sobíšky 8,751 21,Prosenice,Přerov,Olomoucký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14940/2002,
Obec Okříšky,290050,Nádražní 115,675 21,Okříšky,Třebíč,Vysočina,,obecní úřad,,,Knihovna Okříšky,1516,základní,public,Masarykova 87,675 21,Okříšky,Třebíč,Vysočina,, ,http://www.okrisky.cz/knihovna-okrisky/d-358665/p1=84264, ,,TRG504,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14906/2002,
Obec Vilantice,580767,Vilantice 68,544 01,Vilantice,Trutnov,Královéhradecký,,obecní úřad,,,Obecní knihovna Vilantice,1517,základní,public,Vilantice 101,544 01,Vilantice,Trutnov,Královéhradecký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14904/2002,
Obec Vojkov,232955,Vojkov 16,257 53,Vrchotovy Janovice,Benešov,Středočeský,,obecní úřad,,,Obecní knihovna ve Vojkově,1518,základní,public,Vojkov 20,257 53,Vrchotovy Janovice,Benešov,Středočeský,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14898/2002,
Obec Protivanov,288675,Protivanov 32,798 48,Protivanov,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Protivanov,1519,základní,public,Protivanov 296,798 48,Protivanov,Prostějov,Olomoucký,, ,,16.00-18.00 - 16.00-18.00 ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14892/2002,
Obec Darkovice,635456,Dlouhá 112/47,747 17,Darkovice,Opava,Moravskoslezský,,obecní úřad,,,Místní knihovna Darkovice,1520,základní,public,Dlouhá 112/47,747 17,Darkovice,Opava,Moravskoslezský,, ,,12.00-18.00 ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,2022-05-23 00:00:00,St. Firstová,A,, ,,k 14663/2002,
Městys Velký Újezd,299677,Olomoucká 15,783 55,Velký Újezd,Olomouc,Olomoucký,,obecní úřad,,,Knihovna městyse Velký Újezd,1521,základní,public,Olomoucká 15,783 55,Velký Újezd,Olomouc,Olomoucký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,2007-11-22 00:00:00,St. Firstová,A,,,,k 14665/2002,
Obec Loučovice,245984,Loučovice 51,382 76,Loučovice,Český Krumlov,Jihočeský,,obecní úřad,,,Obecní knihovna Loučovice,1522,základní,public,Loučovice 279,382 76,Loučovice,Český Krumlov,Jihočeský,, ,, ,,CKG507,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14676/2002,
Obec Malé Březno,266060,Malé Březno 1,434 01,Most,Most,Ústecký,,obecní úřad,,,Obecní knihovna v Malém Březně,1523,základní,public,Malé Březno 1,434 01,Most,Most,Ústecký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14671/2002,
Obec Hradčany-Kobeřice,530468,Hradčany 14,798 07,Brodek u Prostějova,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Kobeřice,1524,základní,public,Kobeřice 72,798 07,Brodek u Prostějova,Prostějov,Olomoucký,, ,,,,,2003-07-30,2002-10-22 00:00:00,Čermáková,,,V,2004-03-01 00:00:00,Čermáková,,k 14816/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Hradčany-Kobeřice,530468,Hradčany 14,798 07,Brodek u Prostějova,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Hradčany,1525,základní,public,Hradčany 14,798 07,Brodek u Prostějova,Prostějov,Olomoucký,, ,,,,,2003-07-30,2002-10-22 00:00:00,Čermáková,,,V,2004-03-01 00:00:00,Čermáková,,k 14816/2002,"Vyřazena z evidence, knihovna zrušena"
Obec Velké Popovice,240966,Komenského 254,251 69,Velké Popovice,Praha-východ,Středočeský,,obecní úřad,,,Vzorná lidová knihovna ve Velkých Popovicích,1526,základní,public,Smetanova 393,251 69,Velké Popovice,Praha-východ,Středočeský,, ,http://www.naseknihovna.cz/velkepopovice, ,,ABG514,2003-07-30,2002-10-22 00:00:00,Čermáková,2024-08-16 00:00:00,P. Doležalová,A,, ,,k 14814/2002,Oprava názvu knihovny dle osvědčení z 22. 10. 2002 
Obec Vrchoslavice,288942,Vrchoslavice 100,798 27,Němčice nad Hanou,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Vrchoslavice,1527,základní,public,Vrchoslavice 100,798 27,Němčice nad Hanou,Prostějov,Olomoucký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14810/2002,
Obec Načešice,270571,Načešice 21,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Načešicích,1528,základní,public,Načešice 21,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14818/2002,
Obec Načešice,270571,Načešice 21,538 03,Heřmanův Městec,Chrudim,Pardubický,,obecní úřad,,,Obecní knihovna v Licomělicích,1529,základní,public,Licomělice 13,538 03,Heřmanův Městec,Chrudim,Pardubický,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14818/2002,
Obec Alojzov,488542,Alojzov 43,798 04,Alojzov,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Alojzov,1530,základní,public,Alojzov 43,798 04,Alojzov,Prostějov,Olomoucký,, ,, ,, ,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14820/2002,
Obec Horní Štěpánov,288250,Horní Štěpánov 326,798 47,Horní Štěpánov,Prostějov,Olomoucký,,obecní úřad,,,Obecní knihovna Horní Štěpánov,1531,základní,public,Horní Štěpánov 36,798 47,Horní Štěpánov,Prostějov,Olomoucký,, ,,12.30-17.00 ,,PVG505,2003-07-30,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 14824/2002,
Obec Liptaň,296180,Liptaň 149,793 99,Osoblaha,Bruntál,Moravskoslezský,,obecní úřad,,,Místní knihovna v Liptani,1532,základní,public,Liptaň 13,793 99,Osoblaha,Bruntál,Moravskoslezský,, ,, ,, ,2003-07-30,2003-10-22 00:00:00,Čermáková,,,A,, ,,k 15107/2002,
Obec Dubnice,525707,Dubnice 240,471 26,Dubnice,Česká Lípa,Liberecký,,obecní úřad,,,Obecní knihovna v Dubnici,1533,základní,public,Dubnice 240,471 26,Dubnice,Česká Lípa,Liberecký,, ,, ,, ,2003-07-31,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 15114/2002,
Obec Číměř,376817,Číměř,675 01,Číměř,Třebíč,Vysočina,,obecní úřad,,,Místní knihovna v Číměři,1534,základní,public,Číměř 50,675 01,Číměř,Třebíč,Vysočina,, ,,17.00-18.00 ,, ,2003-07-31,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 15197/2002,
Obec Svébohov,303437,Svébohov 64,789 01,Svébohov,Šumperk,Olomoucký,,obecní úřad,,,Místní knihovna Svébohov,1535,základní,public,Svébohov 64,789 01,Svébohov,Šumperk,Olomoucký,, ,, ,, ,2003-07-31,2002-10-22 00:00:00,Čermáková,,,A,, ,,k 15107/2002,
Moravské zemské muzeum v Brně,94862,Zelný trh 6,659 37,Brno,Brno-město,Jihomoravský,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Moravského zemského muzea v Brně,1536,základní se specializovaným knihovním fondem,muzejní,Zelný trh 6,659 37,Brno,Brno-město,Jihomoravský,, ,,"9.00-11.00 (ústřední kn.), 9.00-14.00 (kn. Historického odd.), 9.00-12.00 (kn. Geologicko-paleontologického odd.), 9.00-11.00 (kn.odd. pro historii biolog.věd), 9.00-14.00 (kn. Zoologického odd.)  -  9.00-11.00, 9.00-14.00 (kn. Historického odd.), 9.00-11",,BOE310,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15191/2002,
Slezská univerzita v Opavě,47813059,Bezručovo nám. 13,746 01,Opava,Opava,Moravskoslezský,,vzdělávací a vědecko-výzkumná činnost,,,Ústřední knihovna Filozoficko-přírodovědecké fakulty Slezské univerzity v Opavě,1537,základní se specializovaným knihovním fondem,VŠ,Masarykova 37,746 01,Opava,Opava,Moravskoslezský,, ,, ,,OPD001,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15165/2002,
"Matematický ústav Akademie věd ČR, v.v.i.",67985840,Žitná 25,115 67,Praha 1,Praha,Hlavní město Praha,,vědecký výzkum v oblasti matematiky,,,"Knihovna Matematického ústavu AV ČR, v.v.i.",1538,základní se specializovaným knihovním fondem,AV,Žitná 25,115 67,Praha 1,Praha,Hlavní město Praha,, ,,"8.00-12.00, 13.00-15.30 - 8.00-12.00, 13.00-15.30 - 8.00-13.00 ",,ABB029,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15172/2002,
Výzkumný ústav veterinárního lékařství,27162,Hudcova 70,621 32,Brno,Brno-město,Jihomoravský,,"vědecký výzkum v oblasti veterinárního lékařství, hygieny a ekologie",,,Knihovna Výzkumného ústavu veterinárního lékařství,1539,základní se specializovaným knihovním fondem,veterinární,Hudcova 70,621 32,Brno,Brno-město,Jihomoravský,, ,, ,,BOC020,2003-07-31,2002-10-23 00:00:00,Čermáková,,,A,, ,,k 15158/2002,
Regionální muzeum Karla Aloise Polánka v Žatci,360805,Husova 678,438 01,Žatec,Louny,Ústecký,,"uchování, zpracování a zpřístupňování sbírek muzejní povahy",,,Knihovna Regionálního muzea Karla Aloise Polánka v Žatci,1540,základní se specializovaným knihovním fondem,muzejní,"Stará papírna, Volyňských Čechů 733",438 01,Žatec,Louny,Ústecký,,dokum@muzeumzatec.cz,, ,,LNE801,2003-07-31,2002-10-23 00:00:00,Čermáková,"2.3.2017, 27.4.2017",Švastová,A,, ,,k 15242/2002,
Městská knihovna Sokolov,70865949,Staré náměstí 135,356 01,Sokolov,Sokolov,Karlovarský,,poskytování veřejných knihovnických a informačních služeb,,,Městská knihovna Sokolov,1541,základní,public,Staré náměstí 135,356 01,Sokolov,Sokolov,Karlovarský,,knihovna@mksokolov.cz,www.mksokolov.cz, ,,SOG001,2003-07-31,2002-10-23 00:00:00,Čermáková,"16.4.2003, 29.1.2014, 10.10.2022","Čermáková; M. Fojtík, St. Firstová",A,,,,"k 15236/2002, 49442/2022",
