Nazev provozovatele|B/H - IC provozovatele (u fyzicke osoby pokud bylo prideleno)|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - ulice|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - PSC|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - obec|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - okres|C/CH - sidlo/adresa; misto trvaleho pobytu fyz. osoby - kraj|C/CH - datova schranka, ma-li ji subjekt zrizenou|D - predmet cinnosti|E - pravni forma|G - datum narozeni provozovatele - fyzicke osoby|I - NAZEV KNIHOVNY|R - EVIDENCNI CISLO KNIHOVNY|J - druh knihovny|Kategorie - pomocny sloupec|K - adresa knihovny: ulice|K - adresa knihovny: PSC|K - adresa knihovny: mesto|K - adresa knihovny: okres|K - adresa knihovny: kraj|M - emailovy kontakt na autora zaznamu|N - e-mailovy kontakt na knihovnu|O - odkaz na webovou stranku knihovny, respektive odkaz na informace o knihovne na webovych strankach provozovatele|P - provozni doba knihovny|Q - dalsi informace|X - sigla|S - datum vytvoreni zaznamu|T - datum evidence knihovny|XXT - schvalovatel zaznamu|U - datum aktualizace zaznamu|XXU - schvalovatel aktualizace zaznamu|aktivni / zrusena (vyrazena z evidence)|V - datum vyrazeni|XXV - vyradil z evidence|W - duvod vyrazeni z evidence|Y - cislo jednaci|Poznamka
Mesto Lazne Kynzvart|254029|nam. Republiky 1/160|354 91|Lazne Kynzvart|Cheb|Karlovarsky||mestsky urad|||Mestska knihovna v Laznich Kynzvart|558|zakladni|public|nam. Republiky 1/160|354 91|Lazne Kynzvart|Cheb|Karlovarsky|| |http://laznekynzvart.knihovna.info| ||CHG508|2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11462/2002|
Obec Knyk|579874|Knyk 40|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina||obecni urad|||Obecni knihovna v Knyku|559|zakladni|public|Knyk 40|580 01|Havlickuv Brod|Havlickuv Brod|Vysocina|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11731/2002|
Obec Horni Tosanovice|576883|Horni Tosanovice 129|739 53|Horni Tosanovice|Frydek-Mistek|Moravskoslezsky||obecni urad|||Obecni knihovna v Hornich Tosanovicich|560|zakladni|public|Horni Tosanovice 129|739 53|Horni Tosanovice|Frydek-Mistek|Moravskoslezsky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11748/2002|
Obec Vlastec|511773|Vlastec 27|398 18|Zahori|Pisek|Jihocesky||obecni urad|||Obecni knihovna ve Vlastci|561|zakladni|public|Vlastec 27|398 18|Zahori|Pisek|Jihocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11754/2002|
Obec Velky Chlumec|509850|Maly Chlumec 72|267 24|Hostomice pod Brdy|Beroun|Stredocesky||obecni urad|||Obecni knihovna Velky Chlumec|562|zakladni|public|Maly Chlumec 72|267 24|Hostomice pod Brdy|Beroun|Stredocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11730/2002|
Obec Nelesovice|636410|Nelesovice 50|751 03|Brodek u Prerova|Prerov|Olomoucky||obecni urad|||Mistni knihovna v Nelesovicich|563|zakladni|public|Nelesovice 50|751 03|Brodek u Prerova|Prerov|Olomoucky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11721/2002|
Obec Kucer|249807|Kucer 35|398 34|Kucer|Pisek|Jihocesky||obecni urad|||Mistni lidova knihovna v Kuceri|564|zakladni|public|Kucer 36|398 34|Kucer|Pisek|Jihocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11683/2002|
Obec Nihosovice|251593|Nihosovice 72|387 01|Volyne|Strakonice|Jihocesky||obecni urad|||Obecni knihovna v Nihosovicich|565|zakladni|public|Nihosovice 72|387 01|Volyne|Strakonice|Jihocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11676/2002|
Obec Backov|579777|Backov 38|582 91|Svetla nad Sazavou|Havlickuv Brod|Vysocina||obecni urad|||Mistni knihovna v Backove|566|zakladni|public|Backov 38|582 91|Svetla nad Sazavou|Havlickuv Brod|Vysocina|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11668/2002|
Obec Pila|69981264|Pila 97|360 01|Karlovy Vary|Karlovy Vary|Karlovarsky||obecni urad|||Zakladni knihovna v Pile|567|zakladni|public|Pila 97|360 01|Karlovy Vary|Karlovy Vary|Karlovarsky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11659/2002|
Obec Vyrov|573027|Hadacka 105|331 41|Vyrov|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Vyrov|568|zakladni|public|Hadacka 105|331 41|Vyrov|Plzen-sever|Plzensky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11813/2002|
Obec Krasne Udoli|573256|Krasne Udoli 77|364 01|Touzim|Karlovy Vary|Karlovarsky||obecni urad|||Zakladni knihovna v Krasnem Udoli|569|zakladni|public|Krasne Udoli 77|364 01|Touzim|Karlovy Vary|Karlovarsky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|2006-12-21 00:00:00|St. Firstova|A||||k 11880/2002|
Obec Otice|300543|Hlavni 1|747 81|Otice|Opava|Moravskoslezsky||obecni urad|||Mistni knihovna Otice|570|zakladni|public|Hlavni 1|747 81|Otice|Opava|Moravskoslezsky|| ||15.00-17.00 || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11878/2002|
Obec Risuty|234851|Risuty 84|273 78|Risuty|Kladno|Stredocesky||obecni urad|||Verejna knihovna Risuty|571|zakladni|public|Risuty 84|273 78|Risuty|Kladno|Stredocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|2017-01-27 00:00:00|Svastova|A|| ||k 11876/2002|
Obec Lukavec u Horic|271781|Lukavec u Horic 106|508 01|Horice|Jicin|Kralovehradecky||obecni urad|||Mistni knihovna v Lukavci u Horic|572|zakladni|public|Lukavec u Horic 106|508 01|Horice|Jicin|Kralovehradecky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11857/2002|
Obec Katusice|237981|Nam. Budovatelu 4|294 25|Katusice|Mlada Boleslav|Stredocesky||obecni urad|||Mistni knihovna Katusice|573|zakladni|public|Msenska 187|294 25|Katusice|Mlada Boleslav|Stredocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11862/2002|
Obec Cervena Tremesna|578291|Cervena Tremesna|508 01|Horice|Jicin|Kralovehradecky||obecni urad|||Obecni knihovna Cervena Tremesna|574|zakladni|public|Cervena Tremesna|508 01|Horice|Jicin|Kralovehradecky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11854/2002|
Obec Palonin|303127|Palonin 17|789 83|Palonin|Sumperk|Olomoucky||obecni urad|||Obecni knihovna Palonin|575|zakladni|public|Palonin 17|789 83|Palonin|Sumperk|Olomoucky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11922/2002|
Obec Mirosovice|240460|Na Ohrade 190|251 66|Senohraby|Praha-vychod|Stredocesky||obecni urad|||Obecni knihovna v Mirosovicich|576|zakladni|public|Na Ohrade 190|251 66|Senohraby|Praha-vychod|Stredocesky||mirosovice@volny.cz|| || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11934/2002|
Kulturni a informacni centrum mesta Sadska, prispevkova organizace|70881324|Palackeho nam. 257|289 12|Sadska|Nymburk|Stredocesky||zajistovani kulturnich hodnot a aktivit|||Mestska knihovna K. Viky|577|zakladni|public|Palackeho nam. 3|289 12|Sadska|Nymburk|Stredocesky|| || ||NBG504|2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11741/2002|
Obec Jarpice|234451|Jarpice|273 72|Slapanice|Kladno|Stredocesky||obecni urad|||Mistni lidova knihovna v Jarpicich|578|zakladni|public|Jarpice 5|273 72|Slapanice|Kladno|Stredocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 12000/2002|
Obec Vojtechov|271161|Vojtechov 120|539 01|Hlinsko|Chrudim|Pardubicky||obecni urad|||Obecni knihovna Vojtechov|579|zakladni|public|Vojtechov 120|539 01|Hlinsko|Chrudim|Pardubicky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11988/2002|
Obec Krenovice|511781|Krenovice|398 43|Bernartice|Pisek|Jihocesky||obecni urad|||Mistni lidova knihovna v Krenovicich|580|zakladni|public|Krenovice 48|398 43|Bernartice|Pisek|Jihocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11982/2002|
Mesto Hanusovice|302546|Hlavni 92|788 33|Hanusovice|Sumperk|Olomoucky||mestsky urad|||Mestska knihovna v Hanusovicich|581|zakladni|public|Skolni 343|788 33|Hanusovice|Sumperk|Olomoucky|| || ||SUG503|2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 12018/2002|
Mestska knihovna Varnsdorf, p. o.|49888595|Otahalova 1260|407 47|Varnsdorf|Decin|Ustecky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Varnsdorf, p.o. |582|zakladni|public|Otahalova 1260|407 47|Varnsdorf|Decin|Ustecky||info@mkvdf.cz|www.mkvdf.cz| ||DCG501|2003-06-23|2002-08-28 00:00:00|Cermakova|27.5.2008, 23.5.2022|St. Firstova|A||||k 12004/2002|
Obec Lhotsko|568619|Lhotsko 57|763 12|Lhotsko|Zlin|Zlinsky||obecni urad|||Obecni knihovna Lhotsko|583|zakladni|public|Lhotsko 57|763 12|Lhotsko|Zlin|Zlinsky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 12001/2002|
Obec Slezske Rudoltice|296333|Slezske Rudoltice 85|793 97|Slezske Rudoltice|Bruntal|Moravskoslezsky||obecni urad|||Obecni knihovna ve Slezskych Rudolticich|584|zakladni|public|Slezske Rudoltice 115|793 97|Slezske Rudoltice|Bruntal|Moravskoslezsky|| ||16.00-18.00 || |2003-06-23|2003-08-28 00:00:00|Cermakova|||A|| ||k 11994/2002|
Mesto Pohorelice|283509|Brnenska 2|691 23|Pohorelice|Breclav|Jihomoravsky||mestsky urad|||Mestska knihovna Pohorelice|585|zakladni|public|Komenskeho|691 23|Pohorelice|Breclav|Jihomoravsky|| || ||BVG504|2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11981/2002|
Obec Malonty|245992|Malonty|382 91|Malonty|Cesky Krumlov|Jihocesky||obecni urad|||Obecni knihovna v Malontech|586|zakladni|public|Malonty|382 91|Malonty|Cesky Krumlov|Jihocesky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11980/2002|
Obec Svinosice|637700|Svinosice 1|679 22|Lipuvka|Blansko|Jihomoravsky||obecni urad|||Obecni knihovna Svinosice|587|zakladni|public|Svinosice 1|679 22|Lipuvka|Blansko|Jihomoravsky|| || || |2003-06-23|2002-08-28 00:00:00|Cermakova|||A|| ||k 11985/2002|
Obec Tistin|288853|Tistin 37|798 29|Tistin|Prostejov|Olomoucky||obecni urad|||Obecni knihovna v Tistine|588|zakladni|public|Tistin 149|798 29|Tistin|Prostejov|Olomoucky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12057/2002|
Obec Chotesov|48334090|ul. OPV 313|332 14|Chotesov|Plzen-jih|Plzensky||zajistovani kulturnich hodnot a aktivit|||Verejna knihovna Losina|589|zakladni|public|Losina 29|333 01|Stod|Plzen-jih|Plzensky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|2009-12-07 00:00:00|St. Firstova|A||||k 12064/2002|
Obec Chotesov|48334090|ul. OPV 313|332 14|Chotesov|Plzen-jih|Plzensky||zajistovani kulturnich hodnot a aktivit|||Verejna knihovna Mantov|590|zakladni|public|Mantov 97|333 01|Stod|Plzen-jih|Plzensky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|2009-12-07 00:00:00|St. Firstova|A||||k 12064/2002|
Obec Chotesov|48334090|ul. OPV 313|332 14|Chotesov|Plzen-jih|Plzensky||zajistovani kulturnich hodnot a aktivit|||"Verejna knihovna ""Vaclava Hataje"" v Chotesove"|591|zakladni|public|ul. Osvobozenych politickych veznu 313|332 14|Chotesov|Plzen-jih|Plzensky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|2009-12-07 00:00:00|St. Firstova|A||||k 12064/2002|
Mesto Plesna|254169|5. kvetna 301|351 35|Plesna|Cheb|Karlovarsky||mestsky urad|||Mestska knihovna v Plesne|592|zakladni|public|5. kvetna 300|351 35|Plesna|Cheb|Karlovarsky|| || ||CHB503|2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Krizovatka|254011|Krizovatka|351 34|Skalna|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Krizovatce|593|zakladni|public|Krizovatka|351 34|Skalna|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Liba|254037|Liba|351 31|Liba|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Libe|594|zakladni|public|Liba 99|351 31|Liba|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Prameny|572799|Prameny|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Pramenech|595|zakladni|public|Prameny|353 01|Marianske Lazne|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||V|2018-05-22 00:00:00|B. Stepanova||k 12069/2002|Vyrazena z evidence, knihovna zrusena
Obec Velka Hledsebe|572756|Velka Hledsebe|354 71|Velka Hledsebe|Cheb|Karlovarsky||obecni urad|||Obecni knihovna ve Velke Hledsebi|596|zakladni|public|Velka Hledsebe|354 71|Velka Hledsebe|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Milikov|572713|Milikov|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Milikove|597|zakladni|public|Milikov|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Mnichov|254096|Mnichov|353 01|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Mnichove|598|zakladni|public|Mnichov|353 01|Cheb|Cheb|Karlovarsky|| || || |2003-06-23|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Mnichov|254096|Mnichov|353 01|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Rajove|599|zakladni|public|Rajov|353 01|Cheb|Cheb|Karlovarsky|||||||2003-06-23|2002-08-29 00:00:00|Cermakova|||V|2011-02-28 00:00:00|M. Fojtik||k 12069/2002|Vyrazena z evidence, knihovna zrusena
Obec Novy Kostel|254126|Novy Kostel|351 34|Skalna|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Kopanine|600|zakladni|public|Kopanina|351 34|Skalna|Cheb|Karlovarsky|||||||2003-06-25|2002-08-29 00:00:00|Cermakova|||V|2006-12-13 00:00:00|St. Firstova||k 12069/2002|Vyrazena z evidence, knihovna zrusena
Obec Novy Kostel|254126|Novy Kostel|351 34|Skalna|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Novem Kosteli|601|zakladni|public|Novy Kostel|351 34|Skalna|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Nebanice|254118|Nebanice|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Nebanicich|602|zakladni|public|Nebanice|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Milhostov|254070|Milhostov|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Milhostove|603|zakladni|public|Milhostov|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Vojtanov|572721|Vojtanov|351 34|Skalna|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Hornim Vojtanove|604|zakladni|public|Horni Vojtanov 40|351 34|Skalna|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Treben|572705|Treben|351 34|Skalna|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Trebeni|605|zakladni|public|Treben|351 34|Skalna|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Lipova|254045|Lipova|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Lipove|606|zakladni|public|Lipova|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Turany|572811|Turany|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Turanech|607|zakladni|public|Turany|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Odrava|572802|Odrava|350 02|Cheb|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Odrave|608|zakladni|public|Odrava|350 02|Cheb|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Drmoul|253928|Drmoul|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Drmoulu|609|zakladni|public|Drmoul|353 01|Marinske Lazne|Cheb|Karlovarsky|| |knihovnadrmoul.webk.cz| || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Stara Voda|572748|Stara Voda 88|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna ve Stare Vode|610|zakladni|public|Stara Voda|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|2009-04-27 00:00:00|St. Firstova|A||||k 12069/2002|
Obec Trstenice|254274|Trstenice|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Trstenicich|611|zakladni|public|Trstenice|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Tri Sekery|257304|Tri Sekery|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna ve Trech Sekerach|612|zakladni|public|Tri Sekery|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Valy|572781|Valy|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna ve Valech|613|zakladni|public|Valy|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Vlkovice|572764|Vlkovice|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna ve Vlkovicich|614|zakladni|public|Vlkovice|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Zadub|572772|Zadub|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Zadubu|615|zakladni|public|Zadub|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Ovesne Kladruby|572667|Ovesne Kladruby|353 01|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Ovesnych Kladrubech|616|zakladni|public|Ovesne Kladruby|353 01|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Dolni Zandov|253910|Dolni Zandov|354 93|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Podlesi|617|zakladni|public|Podlesi|354 93|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Dolni Zandov|253910|Dolni Zandov|354 93|Marianske Lazne|Cheb|Karlovarsky||obecni urad|||Obecni knihovna v Dolnim Zandove|618|zakladni|public|Dolni Zandov|354 93|Marinske Lazne|Cheb|Karlovarsky|| || || |2003-06-25|2002-08-29 00:00:00|Cermakova|||A|| ||k 12069/2002|
Obec Klabava|258814|Klabava 17|338 41|Klabava|Rokycany|Plzensky||obecni urad|||Obecni knihovna v Klabave|619|zakladni|public|Klabava 17|338 41|Klabava|Rokycany|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|2008-01-02 00:00:00|St. Firstova|A||||k 12243/2002|
Obec Krechor|235521|Krechor 1|280 02|Krechor|Kolin|Stredocesky||obecni urad|||Obecni knihovna v Krechori|620|zakladni|public|Krechor 1|280 02|Krechor|Kolin|Stredocesky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12232/2002|
Obec Novy Prerov|600202|Novy Prerov 54|691 82|Novy Prerov|Breclav|Jihomoravsky||obecni urad|||Mistni knihovna Novy Prerov|621|zakladni|public|Novy Prerov 54|691 82|Novy Prerov|Breclav|Jihomoravsky|| |"www.knihovnanovyprerov.webk.cz
"| || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12321/2002|
Obec Dolni Hradiste|18246028|Dolni Hradiste 28|331 51|Dolni Hradiste|Plzen-sever|Plzensky||obecni urad|||Mistni lidova knihovna Dolni Hradiste|622|zakladni|public|Dolni Hradiste 28|331 51|Dolni Hradiste|Plzen-sever|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12227/2002|
Obec Polanka|49180592|Polanka|335 01|Nepomuk|Plzen-jih|Plzensky||obecni urad|||Mistni knihovna v Polance|623|zakladni|public|Polanka|335 01|Nepomuk|Plzen-jih|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12174/2002|
Obec Pysel|290254|Pysel 120|675 71|Namest nad Oslavou|Trebic|Vysocina||obecni urad|||Obecni knihovna Pysel|624|zakladni|public|Pysel 120|675 71|Namest nad Oslavou|Trebic|Vysocina|| ||14.30-17.00 || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12153/2002|
Obec Pradlo|257117|Pradlo 21|335 01|Nepomuk 1|Plzen-jih|Plzensky||obecni urad|||Obecni knihovna obce Pradlo|625|zakladni|public|Pradlo 21|335 01|Nepomuk 1|Plzen-jih|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12154/2002|
Mesto Kostelec na Cernymi lesy|235474|nam. Smirickych 33|281 63|Kostelec nad Cernymi lesy|Kolin|Stredocesky||mestsky urad|||Mestska knihovna a informacni centrum Kostelec nad Cernymi lesy|626|zakladni|public|nam. Smirickych 53|281 63|Kostelec nad Cernymi lesy|Kolin|Stredocesky||kostelec@iol.cz||7.30-11.30, 12.00-18.00 - 7.30-11.30, 12.00-17.00 - 7.30-11.30, 12.00-17.00(cervenec-srpen patek zavreno) ||KOG504|2003-06-25|2002-09-02 00:00:00|Cermakova|2008-05-27 00:00:00|St. Firstova|A||||k 12155/2002|
Obec Podmokly|258989|Podmokly 156|338 08|Zbiroh|Rokycany|Plzensky||obecni urad|||Mistni knihovna v Podmoklech|627|zakladni|public|Podmokly 156|338 08|Zbiroh|Rokycany|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12120/2002|
Obec Hvozd|257826|Hvozd 65|331 01|Plasy|Plzen-sever|Plzensky||obecni urad|||Obecni knihovna Hvozd|628|zakladni|public|Hvozd 65|331 01|Plasy|Plzen-sever|Plzensky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12152/2002|
Turistcentrum, prispevkova organizace|73930148|Namesti 13|793 68|Dvorce|Bruntal|Moravskoslezsky||zajisteni kulturnich sluzeb|||Obecni knihovna ve Dvorcich|629|zakladni|public|Smetanova 284|793 68|Dvorce|Bruntal|Moravskoslezsky|| ||15.00-18.00 - 15.00-18.00 ||BRG510|2003-06-25|2002-09-05 00:00:00|Cermakova|2022-10-31 00:00:00|St. Firstova|A|| ||k 12142/2002, 60458/2022|
Mesto Manetin|258091|Manetin 89|331 62|Manetin|Plzen-sever|Plzensky||mestsky urad|||Obecni knihovna Stvolny|630|zakladni|public|Stvolny|331 62|Manetin|Plzen-sever|Plzensky|| || ||PNG517|2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12130/2002|
Mesto Manetin|258091|Manetin 89|331 62|Manetin|Plzen-sever|Plzensky||mestsky urad|||Mestska knihovna Manetin|631|zakladni|public|Manetin 89|331 62|Manetin|Plzen-sever|Plzensky|| || ||PNG517|2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12130/2002|
Mesto Manetin|258091|Manetin 89|331 62|Manetin|Plzen-sever|Plzensky||mestsky urad|||Obecni knihovna Mezi|632|zakladni|public|Mezi|331 62|Manetin|Plzen-sever|Plzensky|| || ||PNG517|2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12130/2002|
Mesto Manetin|258091|Manetin 89|331 62|Manetin|Plzen-sever|Plzensky||mestsky urad|||Obecni knihovna Zhorec|633|zakladni|public|Zhorec|331 62|Manetin|Plzen-sever|Plzensky|| || ||PNG517|2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12130/2002|
Obec Zelatovice|302287|Zelatovice 92|751 16|Zelatovice|Prerov|Olomoucky||obecni urad|||Obecni knihovna Zelatovice|634|zakladni|public|Zelatovice 92|751 16|Zelatovice|Prerov|Olomoucky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12126/2002|
Obec Kratonohy|268968|Kratonohy 31|503 24|Kratonohy|Hradec Kralove|Kralovehradecky||obecni urad|||Obecni knihovna Kratonohy|635|zakladni|public|Kratonohy 31|503 24|Kratonohy|Hradec Kralove|Kralovehradecky|| || || |2003-06-25|2002-09-02 00:00:00|Cermakova|||A|| ||k 12127/2002|
Mestska knihovna Vlasim, prispevkova organizace|352667|Na Tenise 1566|258 01|Vlasim|Benesov|Stredocesky||poskytovani verejnych knihovnickych a informacnich sluzeb|||Mestska knihovna Vlasim, prispevkova organizace|636|zakladni|public|Na Tenise 1566|258 01|Vlasim|Benesov|Stredocesky||vlknih@iol.cz|| ||BNG502|2003-06-25|2002-09-02 00:00:00|Cermakova|2022-05-26 00:00:00|St. Firstova|A|| ||k 12129/2002|
